number,TI,authors,total citations,objective_principal,second_objective,third_objective,fourth_objective,extra_objective,multiobj,animal,kingdoms,carnivore,ungulate,primate,multispecies,technic,equipment,country,continent,source_title,publication_date,publication_year,volume,issue,total citations,doi
573,ANIMAL BEHAVIOR COST-BASED CORRIDOR MODELS AND REAL CORRIDORS, LaPoint Scott; Gallery Paul; Wikelski Martin; et ál.,,behaviour,,,,ecological corridors,MultiObj,mammals,mammals,,,,,,ct,USA,North America,Landspace ecology,Oct-13,2013,8,,,
574,DO RANGER STATIONS DETER POACHING ACTIVITY IN NATIONAL PARKS IN THAILAND?,Jenks Kate E.; Howard JoGayle; Leimgruber Peter,5,hunting,,,,conservation,MultiObj,,,,,,,,ct,Thailand,Asia,BIOTROPICA,NOV 2012,2012,44,6,5,
575,A NEW POPULATION OF THE CRITICALLY ENDANGERED ADERS' DUIKER CEPHALOPHUS ADERSI CONFIRMED FROM NORTHERN COASTAL KENYA,Andanje Samuel A.; Bowkett Andrew E.; Agwanda Bernard Risky; Ngaruiya Grace W.; Plowman Amy B.; Wacher Tim; Amin Rajan,3,presence,,,,elusive species,MultiObj,duiker,mammals,,,,Single,,ct,Kenya,Africa,ORYX,JUL 2011,2011,45,3,3,
576,NEW TECHNIQUES FOR AN OLD DISEASE: SARCOPTIC MANGE IN THE IBERIAN WOLF,Oleaga Alvaro; Casais Rosa; Balseiro Ana; Espi Alberto; Llaneza Luis; Hartasanchez Alfonso; Gortazar Christian,16,disease,,,,epidemiology,MultiObj,wolf,mammals,carnivores,,,Single,,ct,Spain,Europe,VETERINARY PARASITOLOGY,SEP 27 2011,2011,181,2-4,16,
577,HABITAT PATCH SIZE MODULATES TERRESTRIAL MAMMAL ACTIVITY PATTERNS IN AMAZONIAN FOREST FRAGMENTS,Norris D; Michalski F; Peres CA,,behaviour,,,,fragentation,MultiObj,,Mammals,,,,Multiple,,ct,Brazil,South and Central America,JOURNAL OF MAMMALOGY,,2010,91,3,,
578,"RESTORING CONNECTIVITY IN LANDSCAPES FRAGMENTED BY MAJOR ROADS: A CASE STUDY USING WOODEN POLES AS ""STEPPING STONES"" FOR GLIDING MAMMALS",Taylor BD; Goldingay RL,,behaviour,,,,fragmentation,MultiObj,,Mammals,,,,Multiple,,ct,Australia,Australia,RESTORATION ECOLOGY,,2012,20,6,,
579,THE BUSH DOG SPEOTHOS VENATICUS AND SHORT-EARED DOG ATELOCYNUS MICROTIS IN A FRAGMENTED LANDSCAPE IN SOUTHERN AMAZONIA,Michalski Fernanda,11,presence,,,,fragmentation,MultiObj,bush dog,short-eared dog,carnivores,,,Single,,ct,Brazil,South and Central America,ORYX,APR 2010,2010,44,2,11,
580,RESPONSE OF LARGE GALLIFORMS AND TINAMOUS (CRACIDAE PHASIANIDAE TINAMIDAE) TO HABITAT LOSS AND FRAGMENTATION IN NORTHERN GUATEMALA,Thornton DH; Branch LC; Sunquist ME,,occupancy,,,,fragmentation,MultiObj,Birds,Birds,,,,Multiple,,ct,Guatemala,South and Central America,ORYX,,2012,46,4,,
581,CHANGE IN DEMOGRAPHIC PATTERNS OF THE DONANA IBERIAN LYNX LYNX PARDINUS: MANAGEMENT IMPLICATIONS AND CONSERVATION PERSPECTIVES,Lopez-Parra Marcos; Fernandez Leonardo; Ruiz Gema; Maria Gil-Sanchez Jose; Angel Simon Miguel; Lopez Guillermo; Sarmento Pedro,1,abundance,,,,fragmentation,MultiObj,lynx,mammals,carnivores,,,Single,,ct,Spain,Europe,ORYX,JUL 2012,2012,46,3,1,
582,USE OF CAMERA TRAPS TO EXAMINE THE MESOPREDATOR RELEASE HYPOTHESIS IN A FRAGMENTED MIDWESTERN LANDSCAPE,Cove MV; Jones BM; Bossert A; Clever DR; Dunwoody RK; White BC; Jackson VL,,occupancy,abundance,,,fragmentation,MultiObj,,Mammals,Carnivores,,,Multiple,,ct,USA,North America,AMERICAN MIDLAND NATURALIST,,2012,168,2,,
583,USE OF FOREST EDGES BY FREE-RANGING CATS AND DOGS IN AN URBAN FOREST FRAGMENT,Marks BK; Duncan RS,,presence,,,,fragmentation,MultiObj,,Mammals,Carnivores,,,Multiple,,ct,USA,North America,SOUTHEASTERN NATURALIST,,2009,8,3,,
584,FRAGMENTATION OF SAGEBRUSH COMMUNITIES: DOES AN INCREASE IN HABITAT EDGE IMPACT PYGMY RABBITS?,Pierce JE; Larsen RT; Flinders JT; Whiting JC,,abundance,,,,fragmentation,MultiObj,,Mammals,,,,Multiple,,ct,USA,North America,ANIMAL CONSERVATION,,2011,14,3,,
585,IMPACT OF VEHICULAR TRAFFIC ON THE USE OF HIGHWAY EDGES BY LARGE MAMMALS IN A SOUTH INDIAN WILDLIFE RESERVE,Gubbi S; Poornesha HC; Madhusudan MD,,abundance,,,,highway traffic,MultiObj,,Mammals,Carnivores,Ungulates,,Multiple,,ct,India,Asia,CURRENT SCIENCE,,2012,102,7,,
586,HABITAT USE BY SYMPATRIC JAGUARS AND PUMAS ACROSS A GRADIENT OF HUMAN DISTURBANCE IN BELIZE,Foster Rebecca J.; Harmsen Bart J.; Doncaster C. Patrick,20,habitat_use,,,,human disturbance,MultiObj,jaguar puma,mammals,carnivores,,,Multiple,,ct,Belize,South and Central America,BIOTROPICA,NOV 2010,2010,42,6,20,
587,COMPARISON OF MAMMALIAN COMMUNITIES IN A HUMAN-DISTURBED TROPICAL LANDSCAPE IN EAST KALIMANTAN INDONESIA,Rustam; Yasuda M; Tsuyuki S,,abundance,presence,,,human disturbance,MultiObj,,Mammals,Carnivores,Ungulates,Primates,Multiple,,ct,Indonesia,Asia,MAMMAL STUDY,,2012,37,4,,
588,COMPARATIVE SENSITIVITY TO ENVIRONMENTAL VARIATION AND HUMAN DISTURBANCE OF ASIAN TAPIRS (TAPIRUS INDICUS) AND OTHER WILD UNGULATES IN THAILAND,Lynam AJ; Tantipisanuh N; Chutipong W; Ngoprasert D; Baker MC; Cutter P; Gale G; Kitamura S; Steinmetz R; Sukmasuang R; Thunhikorn S,,presence,,,,human disturbance,MultiObj,,Mammals,,Ungulates,,Multiple,,ct,Thailand,Asia,INTEGRATIVE ZOOLOGY,,2012,7,4,,
589,ANTHROPOGENIC BARRIERS TO THE DISTRIBUTION OF THE GREY WOLF (CANIS LUPUS LINNAEUS 1758) IN THE BEYDAGLARI MOUNTAINS AREA TURKEY (MAMMALIA: CARNIVORA),Albayrak T,,presence,,,,human disturbance,MultiObj,,Mammals,Carnivores,,,Single,,ct,Turkey,Asia,ZOOLOGY IN THE MIDDLE EAST,,2011,52,,,
590,ESTIMATING THE POPULATION DENSITY OF THE ASIAN TAPIR (TAPIRUS INDICUS) IN A SELECTIVELY LOGGED FOREST IN PENINSULAR MALAYSIA,Rayan DM; Mohamad SW; Dorward L; Aziz SA; Clements GR; Wong CTC; Traeholt C; Magintan D,,density,,,,logged forest,MultiObj,,Mammals,,Ungulates,,Single,,ct,Malaysia,Asia,INTEGRATIVE ZOOLOGY,,2012,7,4,,
591,MONITORING TIGER POPULATIONS USING INTENSIVE SEARCH IN A CAPTURE-RECAPTURE FRAMEWORK,Sharma Rishi Kumar; Jhala Yadvendradev V.,1,density,,,,monitoring,MultiObj,tiger,mammals,carnivores,,,Single,cr,ct,Asia,Asia,POPULATION ECOLOGY,APR 2011,2011,53,2,1,
592,ONE OR TWO CAMERAS PER STATION? MONITORING JAGUARS AND OTHER MAMMALS IN THE AMAZON,Negroes N; Sollmann R; Fonseca C; Jacomo ATA; Revilla E; Silveira L,,abundance,denisty,,,monitoring,MultiObj,,Mammals,Carnivores,,,Multiple,,ct,Brazil,South and Central America,ECOLOGICAL RESEARCH,,2012,27,3,,
593,AN EVALUATION OF FIELD TECHNIQUES FOR MONITORING TERRESTRIAL MAMMAL POPULATIONS IN AMAZONIA,Munari DP; Keller C; Venticinque EM,,occupancy,abundance,presence,,monitoring,MultiObj,,Mammals,Carnivores,Ungulates,,Multiple,,ct,Brazil,South and Central America,MAMMALIAN BIOLOGY,,2011,76,4,,
594,CRITICAL EVALUATION OF A LONG-TERM LOCALLY-BASED WILDLIFE MONITORING PROGRAM IN WEST AFRICA,Burton AC,,abundance,,,,monitoring,MultiObj,,Mammals,Carnivores,,,Multiple,,ct,Ghana,Africa,BIODIVERSITY AND CONSERVATION,,2012,21,12,,
595,THE WILDLIFE PICTURE INDEX: MONITORING TOP TROPHIC LEVELS,O'Brien TG; Baillie JEM; Krueger L; Cuke M,,occupancy,,,,monitoring,MultiObj,,Mammals,Carnivores,Ungulates,,Multiple,,ct,Indonesia,Asia,ANIMAL CONSERVATION,,2010,13,4,,
596,MONITORING WOLVES (CANIS LUPUS) BY NON-INVASIVE GENETICS AND CAMERA TRAPPING: A SMALL-SCALE PILOT STUDY,Galaverni M; Palumbo D; Fabbri E; Caniglia R; Greco C; Randi E,,abundance,,,,monitoring,MultiObj,,Mammals,Carnivores,,,Single,,ct,Italy,Europe,EUROPEAN JOURNAL OF WILDLIFE RESEARCH,,2012,58,1,,
597,EVALUATION OF CAMERA TRAPS FOR MONITORING EUROPEAN RABBITS BEFORE AND AFTER CONTROL OPERATIONS IN OTAGO NEW ZEALAND,Latham ADM; Nugent G; Warburton B,,abundance,,,,monitoring,MultiObj,,Mammals,,,,Single,,ct,New Zealand,Australia,WILDLIFE RESEARCH,,2012,39,7,,
598,LARGE-SCALE DISTRIBUTION PATTERNS OF CARNIVORES IN NORTHERN SOUTH AFRICA: IMPLICATIONS FOR CONSERVATION AND MONITORING,Thorn M; Green M; Keith M; Marnewick K; Bateman PW; Cameron EZ; Scott DM,,presence,,,,monitoring,MultiObj,,Mammals,Carnivores,,,Multiple,,ct,South Africa,Africa,ORYX,,2011,45,4,,
599,NIGHTLY AND SEASONAL MOVEMENTS SEASONAL HOME RANGE AND FOCAL LOCATION PHOTO-MONITORING OF URBAN STRIPED SKUNKS (MEPHITIS MEPHITIS): IMPLICATIONS FOR RABIES TRANSMISSION,Weissinger MD; Theimer TC; Bergman DL; Deliberto TJ,,presence,behaviour,,,monitoring,MultiObj,,Mammals,Carnivores,,,Multiple,,ct,USA,North America,JOURNAL OF WILDLIFE DISEASES,,2009,45,2,,
600,COEXISTENCE OF CARNIVORES IN A HETEROGENEOUS LANDSCAPE: HABITAT SELECTION AND ECOLOGICAL NICHES,Pereira Pedro; da Silva Antonio Alves; Alves Joana; Matos Milena; Fonseca Carlos,7,habitat_use,,,,niche,MultiObj,carnivores,mammals,carnivores,,,Multiple,,ct,Portugal,Europe,ECOLOGICAL RESEARCH,JUL 2012,2012,27,4,7,
601,NICHE PARTITIONING AND SPECIES COEXISTENCE IN A NEOTROPICAL FELID ASSEMBLAGE,Di Bitetti Mario S.; De Angelo Carlos D.; Di Blanco Yamil E.; Paviolo Agustin,36,habitat_use,,,,niche,MultiObj,felids,mammals,carnivores,,,Single,,ct,South Aamerica,South and Central America,ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,JUL-AUG 2010,2010,36,4,36,
602,ASSESSING TIGER-PREY INTERACTIONS IN SUMATRAN RAINFORESTS,Linkie M.; Ridout M. S.,22,interaction,,,,predator-prey,MultiObj,mammals,mammals,,,,Multiple,,ct,Sumatra,Asia,JOURNAL OF ZOOLOGY,JUL 2011,2011,284,3,22,
603,EVALUATION OF CAMERA TRAPPING FOR ESTIMATING RED FOX ABUNDANCE,Sarmento Pedro; Cruz Joana; Eira Catarina; Fonseca Carlos,18,abundance,,,,reintroduction,MultiObj,fox,mammals,carnivores,,,Single,,ct,Portugal,Europe,JOURNAL OF WILDLIFE MANAGEMENT,SEP 2009,2009,73,7,18,
604,DEER CARCASS DECOMPOSITION AND POTENTIAL SCAVENGER EXPOSURE TO CHRONIC WASTING DISEASE,Jennelle CS; Samuel MD; Nolden CA; Berkley EA,,abundance,behaviour,,,scavenging,MultiObj,,Mammals,Carnivores,,,Multiple,,ct,USA,North America,JOURNAL OF WILDLIFE MANAGEMENT,,2009,73,5,,
605,SCAVENGING BY MAMMALIAN CARNIVORES ON PRAIRIE DOG COLONIES: IMPLICATIONS FOR THE SPREAD OF PLAGUE,Boone A; Kraft JP; Stapp P,,presence,,,,scavenging,MultiObj,,Mammals,Carnivores,,,Multiple,,ct,USA,North America,VECTOR-BORNE AND ZOONOTIC DISEASES,,2009,9,2,,
606,SCAVENGING OF AN ELK CERVUS ELAPHUS CARCASS BY MULTIPLE COUGARS PUMA CONCOLOR IN SOUTHEASTERN ALBERTA,Bacon Michelle M.; Boyce Mark S.,4,scavenging,,,,scavenging,MultiObj,mammals,mammals,,,,Single,,ct,USA,North America,CANADIAN FIELD-NATURALIST,JUL-SEP 2010,2010,124,3,4,
607,SEED REMOVAL AND SURVIVAL IN ASIATIC BLACK BEAR URSUS THIBETANUS FAECES: EFFECT OF RODENTS AS SECONDARY SEED DISPERSERS,Koike Shinsuke; Morimoto Hideto; Kozakai Chinatsu; Arimoto Isao; Yamazaki Koji; Iwaoka Masahiro; Soga Masashi; Koganezawa Masaaki,4,seed_dispersal,,,,seed dispersal,MultiObj,bear,mammals,carnivores,,,Single,,ct,Asia,Asia,WILDLIFE BIOLOGY,MAR 2012,2012,18,1,4,
608,DENSITY ESTIMATION OF SYMPATRIC CARNIVORES USING SPATIALLY EXPLICIT CAPTURE-RECAPTURE METHODS AND STANDARD TRAPPING GRID,O'Brien Timothy G.; Kinnaird Margaret F.,13,density,,,,sympatric species,MultiObj,carnivores,mammals,carnivores,,,Multiple,secr,ct,Africa,Africa,ECOLOGICAL APPLICATIONS,DEC 2011,2011,21,8,13,
609,FIRST DENSITY ESTIMATION OF TWO SYMPATRIC SMALL CATS LEOPARDUS COLOCOLO AND LEOPARDUS GEOFFROYI IN A SHRUBLAND AREA OF CENTRAL ARGENTINA,Caruso Nicolas; Manfredi Claudia; Luengos Vidal Estela M.; Casanaveo Emma B.; Lucherinio Mauro,0,density,,,,sympatric species,MultiObj,leopards,mammals,carnivores,,,Multiple,,ct,Argentina,South and Central America,ANNALES ZOOLOGICI FENNICI,JUN 29 2012,2012,49,3,0,
610,TEMPORAL SEPARATION BETWEEN JAGUAR AND PUMA IN THE DRY FORESTS OF SOUTHERN BOLIVIA,Romero-Munoz Alfredo; Maffei Leonardo; Cuellar Erika; Noss Andrew J.,13,interaction,,,,sympatric species,MultiObj,jaguar puma,mammals,carnivores,,,Single,,ct,Bolivia,South and Central America,JOURNAL OF TROPICAL ECOLOGY,MAY 2010,2010,26,,13,
611,TIME PARTITIONING FAVORS THE COEXISTENCE OF SYMPATRIC CRAB-EATING FOXES (CERDOCYON THOUS) AND PAMPAS FOXES (LYCALOPEX GYMNOCERCUS),Di Bitetti Mario S.; Di Blanco Yamil E.; Pereira Javier A.; Paviolo Agustin; Jimenez Perez Ignacio,38,interaction,,,,sympatric species,MultiObj,foxes,mammals,carnivores,,,Multiple,,ct,Brazil,South and Central America,JOURNAL OF MAMMALOGY,APR 2009,2009,90,2,38,
612,USING OCCUPANCY MODELS TO INVESTIGATE SPACE PARTITIONING BETWEEN TWO SYMPATRIC LARGE PREDATORS THE JAGUAR AND PUMA IN CENTRAL BRAZIL,Sollmann Rahel; Furtado Mariana Malzoni; Hofer Heribert; Jacomo Anah T. A.; Torres Natalia Mundim; Silveira Leandro,13,occupancy,,,,sympatric species,MultiObj,jaguar puma,mammals,carnivores,,,Multiple,,ct,Brazil,South and Central America,MAMMALIAN BIOLOGY,2012,2012,77,1,13,
613,SPATIAL AND TEMPORAL INTERACTIONS OF SYMPATRIC JAGUARS (PANTHERA ONCA) AND PUMAS (PUMA CONCOLOR) IN A NEOTROPICAL FOREST,Harmsen Bart J.; Foster Rebecca J.; Silver Scott C.; Ostro Linde E. T.; Doncaster C. Patrick,65,interaction,,,,sympatric species,MultiObj,jaguar puma,mammals,carnivores,,,Multiple,,ct,South America,South and Central America,JOURNAL OF MAMMALOGY,JUN 2009,2009,90,3,65,
614,ASSESSING THE SPATIO-TEMPORAL PATTERN OF WINTER SPORTS ACTIVITIES TO MINIMIZE DISTURBANCE IN CAPERCAILLIE HABITATS,Rupf Reto; Wyttenbach Martin; Koechli Daniel; Hediger Martina; Lauber Salome; Ochsner Pascal; Graf Roland,4,presence,,,,tourism,MultiObj,bird,birds,,,,Single,,ct,Austria,Europe,ECO MONT-JOURNAL ON PROTECTED MOUNTAIN AREAS RESEARCH,DEC 2011,2011,3,2,4,
615,EFFECTS OF URBANIZATION ON CARNIVORE SPECIES DISTRIBUTION AND RICHNESS,Ordenana Miguel A.; Crooks Kevin R.; Boydston Erin E.; Fisher Robert N.; Lyren Lisa M.; Siudyla Shalene; Haas Christopher D.; Harris Sierra; Hathaway Stacie A.; Turschak Greta M.; Miles A. Keith; Van Vuren Dirk H.,43,distribution,richness ,,,urban zone,MultiObj,carnivores,mammals,carnivores,,,Multiple,,ct,USA,North America,JOURNAL OF MAMMALOGY,DEC 16 2010,2010,91,6,43,
616,LARGE MAMMALS SURVIVING CONFLICT IN THE EASTERN FORESTS OF AFGHANISTAN,Stevens K; Dehgan A; Karlstetter M; Rawan F; Tawhid MI; Ostrowski S; Ali JM; Ali R,,abundance,presence,,,,MultiObj,,Mammals,Carnivores,,,Single,,ct,Afganistan,Asia,ORYX,,2011,45,2,,
617,DIET OF LEOPARDS IN THE SOUTHERN CAPE SOUTH AFRICA,Braczkowski Alexander; Watson Laurence; Coulson Damien; Randall Rod,3,feeding_ecology,,,,,,leopards,mammals,carnivores,,,Single,,ct,Africa,Africa,AFRICAN JOURNAL OF ECOLOGY,SEP 2012,2012,50,3,3,
618,WATERHOLE USE BY AFRICAN FAUNA,Hayward Matt W.; Hayward Madeleine D.,7,behaviour,,,,,,mammals birds raptiles,,,,,Multiple,,ct,Africa,Africa,SOUTH AFRICAN JOURNAL OF WILDLIFE RESEARCH,OCT 2012,2012,42,2,7,
619,HABITAT USE BY CARNIVORES AT DIFFERENT SPATIAL SCALES IN A PLANTATION FOREST LANDSCAPE IN PATAGONIA ARGENTINA,Lantschner MV; Rusch V; Hayes JP,,occupancy,abundance,,,,MultiObj,,Mammals,Carnivores,,,Multiple,,ct,Argentina,South and Central America,FOREST ECOLOGY AND MANAGEMENT,,2012,269,,,
620,ACTIVITY PATTERNS OF THE CULPEO FOX (LYCALOPEX CULPAEUS MAGELLANICA) IN A NON-HUNTING AREA OF NORTHWESTERN PATAGONIA ARGENTINA,Monteverde MJ; Piudo L,,abundance,presence,behaviour,,,MultiObj,,Mammals,Carnivores,,,Single,,ct,Argentina,South and Central America,MAMMAL STUDY,,2011,36,3,,
621,PROTECTION AFFECTS THE ABUNDANCE AND ACTIVITY PATTERNS OF PUMAS IN THE ATLANTIC FOREST,Paviolo A; Di Blanco YE; De Angelo CD; Di Bitetti MS,,abundance,denisty,behaviour,,,MultiObj,,Mammals,Carnivores,,,Multiple,,ct,Argentina Brazil,South and Central America,JOURNAL OF MAMMALOGY,,2009,90,4,,
622,DENSITY ESTIMATION OF ASIAN BEARS USING PHOTOGRAPHIC CAPTURE-RECAPTURE SAMPLING BASED ON CHEST MARKS,Ngoprasert Dusit; Reed David H.; Steinmetz Robert; Gale George A.,5,density,,,,,,bears,mammals,carnivores,,,Single,,ct,Asia,Asia,URSUS,2012,2012,23,2,5,
623,IT'S A DOG-EAT-CROC WORLD: DINGO PREDATION ON THE NESTS OF FRESHWATER CROCODILES IN TROPICAL AUSTRALIA,Somaweera R; Webb JK; Shine R,,abundance,presence,,,,MultiObj,,Mammals,Carnivores,,,Multiple,,ct,Australia,Australia,ECOLOGICAL RESEARCH,,2011,26,5,,
624,COMPARISON OF METHODS TO DETECT RARE AND CRYPTIC SPECIES: A CASE STUDY USING THE RED FOX (VULPES VULPES),Vine SJ; Crowther MS; Lapidge SJ; Dickman CR; Mooney N; Piggott MP; English AW,,presence,,,,,,,Mammals,Carnivores,,,Single,,ct,Australia,Australia,WILDLIFE RESEARCH,,2009,36,5,,
625,ESTIMATING AND INDEXING FERAL CAT POPULATION ABUNDANCES USING CAMERA TRAPS,Bengsen Andrew; Butler John; Masters Pip,30,abundance,,,,,,feral cat,mammals,carnivores,,,,cmr,ct,Australia,Australia,WILDLIFE RESEARCH,2011,2011,38,8,30,
626,DETECTING PEST AND PREY RESPONSES TO FOX CONTROL ACROSS THE LANDSCAPE USING REMOTE CAMERAS,Towerton AL; Penman TD; Kavanagh RP; Dickman CR,,occupancy,abundance,,,,MultiObj,,Mammals,Carnivores,,,Multiple,,ct,Australia,Australia,WILDLIFE RESEARCH,,2011,38,3,,
627,DINGOES AFFECT ACTIVITY OF FERAL CATS BUT DO NOT EXCLUDE THEM FROM THE HABITAT OF AN ENDANGERED MACROPOD,Wang YW; Fisher DO,,abundance,presence,behaviour,,,MultiObj,,Mammals,Carnivores,,,Multiple,,ct,Australia,Australia,WILDLIFE RESEARCH,,2012,39,7,,
628,TEMPORAL ACTIVITY PATTERNS OF THE SWAMP RAT (RATTUS LUTREOLUS) AND OTHER RODENTS IN NORTH-EASTERN NEW SOUTH WALES AUSTRALIA,Meek PD; Zewe F; Falzon G,,behaviour,,,,,,,Mammals,,,,Multiple,,ct,Australia,Australia,AUSTRALIAN MAMMALOGY,,2012,34,2,,
629,A COMPARISON OF VERTICAL AND HORIZONTAL CAMERA TRAP ORIENTATIONS FOR DETECTION OF POTOROOS AND BANDICOOTS,Smith JK; Coulson G,,occupancy,abundance,behaviour,,,MultiObj,,Mammals,,,,Multiple,,ct,Australia,Australia,AUSTRALIAN MAMMALOGY,,2012,34,2,,
630,USING A GENERAL INDEX APPROACH TO ANALYZE CAMERA-TRAP ABUNDANCE INDICES,Bengsen AJ; Leung LKP; Lapidge SJ; Gordon IJ,,abundance,,,,,,,Mammals,,Ungulates,,Single,,ct,Australia,Australia,JOURNAL OF WILDLIFE MANAGEMENT,,2011,75,5,,
631,A COMPARISON OF THE EFFECTIVENESS OF CAMERA TRAPPING AND LIVE TRAPPING FOR SAMPLING TERRESTRIAL SMALL-MAMMAL COMMUNITIES,De Bondi N; White JG; Stevens M; Cooke R,,occupancy,,,,,,,Mammals,,,,Multiple,,ct,Australia,Australia,WILDLIFE RESEARCH,,2010,37,6,,
632,THERE'S NO ACCOUNTING FOR TASTE: BAIT ATTRACTANTS AND INFRARED DIGITAL CAMERAS FOR DETECTING SMALL TO MEDIUM GROUND-DWELLING MAMMALS,Paull DJ; Claridge AW; Barry SC,,behaviour,,,,,,,Mammals,,,,Multiple,,ct,Australia,Australia,WILDLIFE RESEARCH,,2011,38,3,,
633,EFFECTIVE DETECTION METHODS FOR MEDIUM-SIZED GROUND-DWELLING MAMMALS: A COMPARISON BETWEEN INFRARED DIGITAL CAMERAS AND HAIR TUNNELS,Paull DJ; Claridge AW; Cunningham RB,,presence,,,,,,,Mammals,,,,Multiple,,ct,Australia,Australia,WILDLIFE RESEARCH,,2012,39,6,,
634,CARNIVORE CO-EXISTENCE AND HABITAT USE IN THE MOUNTAIN PINE RIDGE FOREST RESERVE BELIZE,Davis ML; Kelly MJ; Stauffer DF,,abundance,presence,,,,MultiObj,,Mammals,Carnivores,,,Multiple,,ct,Belize,South and Central America,ANIMAL CONSERVATION,,2011,14,1,,
635,DIFFERENTIAL USE OF TRAILS BY FOREST MAMMALS AND THE IMPLICATIONS FOR CAMERA-TRAP STUDIES: A CASE STUDY FROM BELIZE,Harmsen BJ; Foster RJ; Silver S; Ostro L; Doncaster CP,,abundance,behaviour,,,,MultiObj,,Mammals,Carnivores,Ungulates,,Multiple,,ct,Belize,South and Central America,BIOTROPICA,,2010,42,1,,
636,SCRAPE-MARKING BEHAVIOR OF JAGUARS (PANTHERA ONCA) AND PUMAS (PUMA CONCOLOR),Harmsen BJ; Foster RJ; Gutierrez SM; Marin SY; Doncaster CP,,behaviour,,,,,,,Mammals,Carnivores,,,Multiple,,ct,Belize,South and Central America,JOURNAL OF MAMMALOGY,,2010,91,5,,
637,JAGUAR AND PUMA ACTIVITY PATTERNS IN RELATION TO THEIR MAIN PREY,Harmsen BJ; Foster RJ; Silver SC; Ostro LET; Doncaster CP,,behaviour,,,,,,,Mammals,Carnivores,,,Multiple,,ct,Belize,South and Central America,MAMMALIAN BIOLOGY,,2011,76,3,,
638,THE USE OF CAMERA TRAPS FOR ESTIMATING TIGER AND LEOPARD POPULATIONS IN THE HIGH ALTITUDE MOUNTAINS OF BHUTAN,Wang SW; Macdonald DW,,density,,,,,,,Mammals,Carnivores,,,Multiple,,ct,Bhutan,Asia,BIOLOGICAL CONSERVATION,,2009,142,3,,
639,COMPARISON OF DENSITY ESTIMATION METHODS FOR MAMMAL POPULATIONS WITH CAMERA TRAPS IN THE KAA-IYA DEL GRAN CHACO LANDSCAPE,Noss AJ; Gardner B; Maffei L; Cuellar E; Montano R; Romero-Munoz A; Sollman R; O'Connell AF,,density,,,,,,,Mammals,Carnivores,Ungulates,,Multiple,,ct,Bolivia,South and Central America,ANIMAL CONSERVATION,,2012,15,5,,
640,DISCOVERY OF MILLER'S GRIZZLED LANGUR (PRESBYTIS HOSEI CANICRUS) IN WEHEA FOREST CONFIRMS THE CONTINUED EXISTENCE AND EXTENDS KNOWN GEOGRAPHICAL RANGE OF AN ENDANGERED PRIMATE,Lhota Stanislav; Loken Brent; Spehar Stephanie; Fell Eric; Pospech Alexandr; Kasyanto Nunuk,4,presence,,,,,,primate,mammals,,,primate,Single,,ct,Borneo,Asia,AMERICAN JOURNAL OF PRIMATOLOGY,MAR 2012,2012,74,3,4,
641,WILD FELID DIVERSITY AND ACTIVITY PATTERNS IN SABANGAU PEAT-SWAMP FOREST INDONESIAN BORNEO,Cheyne Susan M.; Macdonald David W.,18,diversity,activity patterns,,,,MultiObj,felids,mammals,carnivores,,,Multiple,,ct,Borneo,Asia,ORYX,JAN 2011,2011,45,1,18,
642,PRIVATE FOREST RESERVES CAN AID IN PRESERVING THE COMMUNITY OF MEDIUM AND LARGE-SIZED VERTEBRATES IN THE AMAZON ARC OF DEFORESTATION,Negroes N; Revilla E; Fonseca C; Soares AMVM; Jacomo ATA; Silveira L,,abundance,presence,behaviour,,,MultiObj,,Mammals,Carnivores,Ungulates,Primates,Multiple,,ct,Brazil,South and Central America,BIODIVERSITY AND CONSERVATION,,2011,20,3,,
643,PERFORMANCE OF CAMERA TRAPPING AND TRACK COUNTS FOR SURVEYING LARGE MAMMALS IN RAINFOREST REMNANTS,Espartosa KD; Pinotti BT; Pardini R,,abundance,presence,,,,MultiObj,,Mammals,Carnivores,Ungulates,,Multiple,,ct,Brazil,South and Central America,BIODIVERSITY AND CONSERVATION,,2011,20,12,,
644,IMPROVING DENSITY ESTIMATES FOR ELUSIVE CARNIVORES: ACCOUNTING FOR SEX-SPECIFIC DETECTION AND MOVEMENTS USING SPATIAL CAPTURE-RECAPTURE MODELS FOR JAGUARS IN CENTRAL BRAZIL,Sollmann Rahel; Furtado Mariana Malzoni; Gardner Beth; Hofer Heribert; Jacomo Anah T. A.; Torres Natalia Mundim; Silveira Leandro,81,density,,,,,,jaguar,mammals,carnivores,,,,scr,ct,Brazil,South and Central America,BIOLOGICAL CONSERVATION,MAR 2011,2011,144,3,81,
645,NON-VOLANT TETRAPODS FROM RESERVA BIOLOGICA DE DUAS BOCAS STATE OF ESPIRITO SANTO SOUTHEASTERN BRAZIL,Tonini JFR; Carao LD; Pinto ID; Gasparini JL; Leite YLR; Costa LP,,presence,,,,,,,Mammals,Carnivores,Ungulates,Primates,Multiple,,ct,Brazil,South and Central America,BIOTA NEOTROPICA,,2010,10,3,,
